content_id,value,context_code
1917,Solivia,brand_of
1918,3M Static Control,acquired_by
1918,Charleswater,brand_of
1918,Desco,short_name
1918,EMIT,brand_of
1918,ESD Systems.com,brand_of
1918,MENDA,brand_of
1918,MENDA Tools,brand_of
1918,Protektive Pak,brand_of
1918,SCS,brand_of
1918,Smart Clock,brand_of
1918,SpecialTeam,brand_of
1918,SPI Westek,acquired_by
1918,Statguard Flooring,brand_of
1918,Vermason,brand_of
1919,Connecteurs Electriques Deutsch,also_known_as
1919,Deutsch,short_name
1919,Deutsch Connectors,also_known_as
1919,Deutsch Engineered Connecting Devices,also_known_as
1919,Deutsch India Power Connectors,formerly_known_as
1919,Deutsch UK,also_known_as
1920,Dexter,short_name
1921,Dialight,short_name
1921,Dialight Lumidrives,brand_of
1922,Dielectric Laboratories,also_known_as
1922,Dielectric Labs,also_known_as
1922,DLI,also_known_as
1922,Knwoles Corporation,division_of
1923,Digi,short_name
1923,DigiBoard,formerly_known_as
1923,Digi International,also_known_as
1923,Maxstream,formerly_known_as
1923,Net+ARM,trademark_of
1923,NetSilicon Inc,acquired_by
1924,Digital View,previous_name_value
1924,Digital View,also_known_as
1924,Digital View Display Electronics,division_of
1924,DV Signage,division_of
1925,Digithead,short_name
1926,Anachip,acquired_by
1926,BCD Semiconductor Manufacturing Ltd,acquired_by
1926,Diodes,short_name
1926,Diodes-BCD,acquired_by
1926,"Diodes, Inc.",also_known_as
1926,PAM,brand_of
1926,Power Analog Microelectronics (PAM),acquired_by
1926,Zetex Semiconductors,acquired_by
1927,Directed Light,also_known_as
1928,Dow Chemical,also_known_as
1928,Dow Corning,formerly_known_as
1928,Dow Corning Corporation,also_known_as
1928,Dow Silicones Coproration,also_known_as
1929,Dupont,previous_name_value
1929,Dupont,short_name
1929,E.I. du Pont de Nemours and Company,also_known_as
1929,Tedlar (Soundproofing Sheets),trademark_of
1929,Tychem,trademark_of
1929,Tyvek,trademark_of
1930,Duracell,short_name
1930,Duracell,previous_name_value
1930,Procell,brand_of
1931,Durakool,short_name
1931,DURAKOOL,brand_of
1931,ELESTA Relays,brand_of
1931,Herma Seal,brand_of
1931,Multi Dimension,brand_of
1932,CardScan,brand_of
1932,Dymo,short_name
1932,Rhino,brand_of
1933,EAO,short_name
1933,EAO International,previous_name_value
1934,Eastek,short_name
1934,Eastek International,also_known_as
1935,Eastman Kodak,also_known_as
1935,Kodak,short_name
1936,Aeroquip,brand_of
1936,Cutler-Hammer,acquired_by
1936,Durant Industrial Controls,acquired_by
1936,Eaton,short_name
1936,Eaton Transportation,division_of
1936,Gamah,brand_of
1936,MEM,brand_of
1936,Moeller,acquired_by
1936,PanelMate Power Pro,brand_of
1936,Synflex,brand_of
1937,EBM Industries Inc,also_known_as
1937,EBM-Papst,short_name
1937,ebm-papst Inc,previous_name_value
1937,Pamotor,brand_of
1938,Echelon,short_name
1939,Ecliptek,short_name
1940,ECS Inc.,short_name
1940,ECS International,previous_name_value
1940,ECS International,also_known_as
